english_sentence,isl_gloss
"In the previous classes you have learnt about various types of motion such as linear motion, circular motion, oscillatory motion, and so on.",PREVIOUS CLASS LEARN VARIOUS TYPE MOTION SUCH LINEAR CIRCULAR OSCILLATORY PAST
"So far, you have discussed the motion of bodies in terms of their displacement, velocity, and acceleration.",YOU DISPLACEMENT DISCUSS FAR MOTION BODY TERM VELOCITY ACCELERATION PAST
"In this unit, let us investigate the cause of motion.",WE MOTION LET UNIT INVESTIGATE CAUSE
"When a body is at rest, starts moving, a question that arises in our mind is ‘what causes the body to move?’ Similarly, when a moving object comes to rest, you would like to know what brings it to rest?",WHAT IT LIKE BODY REST START MOVE QUESTION ARISE MIND CAUSE SIMILARLY OBJECT COME KNOW BRING PRESENT WHEN
If a moving object speeds up or slows down or changes its direction. what speeds up or slows down the body?,WHAT BODY SPEED MOVE OBJECT SLOW CHANGE DIRECTION PRESENT
What changes the direction of motion?,WHAT MOTION CHANGE DIRECTION PRESENT
One answer for all the above questions is ‘Force’.,ONE ANSWER ABOVE QUESTION FORCE
"In a common man’s understanding of motion, a body needs a ‘push’ or ‘pull’ to move, or bring to rest or change its velocity.",BODY VELOCITY NEED COMMON MAN UNDERSTAND MOTION PUSH PULL MOVE BRING REST CHANGE PRESENT
"Hence, this ‘push’ or ‘pull’ is called as ‘force’.",PUSH FORCE CALL HENCE PULL PAST
Let us define force in a more scientific manner using the three laws proposed by Sir Isaac Newton.,WE NEWTON LET DEFINE FORCE MORE SCIENTIFIC MANNER USE THREE LAWS PROPOSE SIR ISAAC PAST
"These laws help you to understand the motion of a body and also to predict the future course of its motion, if you know the forces acting on it.",FORCE IT HELP LAWS UNDERSTAND MOTION BODY ALSO PREDICT FUTURE COURSE KNOW ACT PRESENT
"Before Newton formulated his three laws of motion, a different perception about the force and motion of bodies prevailed.",PERCEPTION BODY PREVAIL NEWTON FORMULATE THREE LAWS MOTION DIFFERENT FORCE PAST
Let us first look at these ideas and then eventually learn about Newton’s laws in this unit.,WE UNIT LET FIRST LOOK IDEAS THEN EVENTUALLY LEARN NEWTON LAWS
Learning Objectives At the end of this lesson students will be able to: Understand the concepts of force and motion.,LEARN OBJECTIVES END LESSON STUDENTS ABLE UNDERSTAND CONCEPTS FORCE MOTION
Explain inertia and its types.,EXPLAIN INERTIA TYPE
State the three laws of Newton.,STATE THREE LAWS NEWTON
Apply Newtonian concept of force and motion.,APPLY NEWTONIAN CONCEPT FORCE MOTION
"Define force, momentum and impulse.",DEFINE FORCE MOMENTUM IMPULSE
Distinguish between mass and weight Analyze weightlessness and the principle of conservation of momentum.,DISTINGUISH MASS WEIGHT ANALYZE WEIGHTLESSNESS PRINCIPLE CONSERVATION MOMENTUM
Explain the law of gravitation and its applications.,EXPLAIN LAW GRAVITATION APPLICATIONS
Understand the variations in 'g' due to height and depth.,UNDERSTAND VARIATIONS G DUE HEIGHT DEPTH
Solve numerical problems related to force and motion 2 10th Standard Science Mechanics is the branch of physics that deals with the effect of force on bodies.,SOLVE NUMERICAL PROBLEMS RELATE FORCE MOTION STANDARD SCIENCE MECHANICS BRANCH PHYSICS DEAL EFFECT BODY PAST PRESENT
"It is divided into two branches, namely, statics and dynamics.",IT BRANCH DIVIDE TWO NAMELY STATICS DYNAMICS PAST
"Statics: It deals with the bodies, which are at rest under the action of forces.",WHICH FORCE DEAL STATICS BODY REST ACTION PRESENT
Dynamics: It is the study of moving bodies under the action of forces.,DYNAMICS STUDY MOVE BODY ACTION FORCE
Dynamics is further divided as follows.,DYNAMICS FURTHER DIVIDE FOLLOW PAST PRESENT
Kinematics: It deals with the motion of bodies without considering the cause of motion.,IT MOTION DEAL KINEMATICS BODY CONSIDER CAUSE PRESENT
"Kinetics: It deals with the motion of bodies considering the cause of motion. 1.1 FORCE AND MOTION According to Aristotle a Greek Philosopher and Scientist, the natural state of earthly bodies is ‘rest’.",FORCE BODY DEAL KINETICS MOTION CONSIDER CAUSE ACCORD ARISTOTLE GREEK PHILOSOPHER SCIENTIST NATURAL STATE EARTHLY REST PRESENT
He stated that a moving body naturally comes to rest without any external influence of the force.,BODY FORCE STATE MOVE NATURALLY COME REST EXTERNAL INFLUENCE PAST PRESENT
Such motions are termed as ‘natural motion’ (Force independent).,MOTION FORCE TERM SUCH NATURAL INDEPENDENT PAST
He also proposed that a force (a push or a pull) is needed to make the bodies to move from their natural state (rest) and behave contrary to their own natural state called as ‘violent motion’ (Force dependent).,BODY MOTION PROPOSE ALSO FORCE PUSH PULL NEED MAKE MOVE NATURAL STATE REST BEHAVE CONTRARY OWN CALL VIOLENT DEPENDENT PAST
"Further, he said, when two different mass bodies are dropped from a height, the heavier body falls faster than the lighter one.",BODY ONE FALL FURTHER SAY TWO DIFFERENT MASS DROP HEIGHT HEAVIER FASTER LIGHTER PAST PRESENT
"Galileo proposed the following concepts about force, motion and inertia of bodies: (i) The natural state of all earthly bodies is either the state of rest or the state of uniform motion. (ii) A body in motion will continue to be in the same state of motion as long as no external force is applied. (iii) When a force is applied on bodies, they resist any change in their state.",THEY STATE RESIST GALILEO PROPOSE FOLLOW CONCEPTS FORCE MOTION INERTIA BODY I NATURAL EARTHLY REST UNIFORM II CONTINUE SAME AS LONG EXTERNAL APPLY III CHANGE PAST PRESENT NOT
"This property of bodies is called ‘inertia’. (iv) When dropped from a height in vacuum, bodies of different size, shape and mass fall at the same rate and reach the ground at the same time. 1.2 INERTIA While you are travelling in a bus or in a car, when a sudden brake is applied, the upper part of your body leans in the forward direction.",BRAKE DIRECTION DROP PROPERTY BODY CALL INERTIA HEIGHT VACUUM DIFFERENT SIZE SHAPE MASS FALL SAME RATE REACH GRIND TIME TRAVEL BUS CAR SUDDEN APPLY UPPER PART LEAN FORWARD PAST PRESENT
"Similarly, when the vehicle suddenly is move forward from rest, you lean backward.",YOU REST LEAN SIMILARLY VEHICLE SUDDENLY MOVE FORWARD BACKWARD PRESENT
"This is due to, any body would like to continue to be in its state of rest or the state of motion.",BODY MOTION LIKE DUE CONTINUE STATE REST
This is known as ‘inertia’.,THIS INERTIA KNOW PAST
"The inherent property of a body to resist any change in its state of rest or the state of uniform motion, unless it is influenced upon by an external unbalanced force, is known as ‘inertia’.",IT INERTIA KNOW INHERENT PROPERTY BODY RESIST CHANGE STATE REST UNIFORM MOTION INFLUENCE EXTERNAL UNBALANCE FORCE PAST
Activity 1 Take a glass tumbler and place a small cardboard on it as shown in the figure.,ACTIVITY FIGURE TAKE GLASS TUMBLER PLACE SMALL CARDBOARD SHOW PAST
"Now, keep a coin at the centre of the cardboard.",NOW KEEP COIN CENTRE CARDBOARD PRESENT
"Then, flick the cardboard quickly.",THEN FLICK CARDBOARD QUICKLY
What do you observe?,YOU WHAT OBSERVE
The cardboard falls off the ground and the coin falls into the glass tumbler.,COIN TUMBLER FALL CARDBOARD GRIND GLASS PRESENT
"Inertia of rest In activity described above, the inertia of the coin keeps it in the state of rest when the cardboard moves.",CARDBOARD REST KEEP INERTIA ACTIVITY DESCRIBE ABOVE COIN STATE MOVE PAST PRESENT
"Then, when the cardboard has moved, the coin falls into the tumbler due to gravity.",COIN GRAVITY FALL THEN CARDBOARD MOVE TUMBLER PAST PRESENT
This happen due to ‘inertia of rest’. 1.2.1 Types of Inertia a) Inertia of rest: The resistance of a body to change its state of rest is called inertia of rest. b) Inertia of motion: The resistance of a body to 10th_Science_Unit-1.indd 2 12/3/2022 2:48:45 PM 3 Laws of motion 1.4 NEWTON’S LAWS OF MOTION 1.4.1 Newton’s First Law This law states that every body continues to be in its state of rest or the state of uniform motion along a straight line unless it is acted upon by some external force.,IT FORCE STATE HAPPEN INERTIA REST TYPE RESISTANCE BODY CHANGE CALL MOTION PM LAWS NEWTON FIRST LAW CONTINUE UNIFORM STRAIGHT LINE ACT EXTERNAL PAST PRESENT
"It gives the definition of force as well as inertia. 1.4.2 Force Force is an external effort in the form of push or pull, which: 1. produces or tries to produce the motion of a static body. 2. stops or tries to stop a moving body. 3. changes or tries to change the direction of motion of a moving body.",WHICH BODY GIVE DEFINITION FORCE AS WELL INERTIA EXTERNAL EFFORT FORM PUSH PULL PRODUCE TRY MOTION STATIC STOP MOVE CHANGE DIRECTION PRESENT
Force has both magnitude and direction.,FORCE MAGNITUDE HAVE DIRECTION PRESENT
"So, it is a vector quantity. 1.4.3 Types of forces Based on the direction in which the forces act, they can be classified into two types as: (a) Like parallel forces and (b) Unlike parallel forces. (a) Like parallel forces: Two or more forces of equal or unequal magnitude acting along the same direction, parallel to each other are called like parallel forces. (b) Unlike parallel forces: If two or more equal forces or unequal forces act along opposite directions parallel to each other, then they are called unlike parallel forces.",THEY FORCE CALL VECTOR QUANTITY TYPE BASE DIRECTION ACT CLASSIFY TWO PARALLEL MORE EQUAL UNEQUAL MAGNITUDE SAME OTHER OPPOSITE DIRECTIONS THEN PAST PRESENT
"Action of forces are given in Table 1.1. 1.4.4 Resultant Force When several forces act simultaneously on the same body, then the combined effect of the multiple forces can be represented by a single force, which is termed as ‘resultant force’.",WHICH FORCE REPRESENT ACTION GIVE TABLE RESULTANT SEVERAL ACT SIMULTANEOUSLY SAME BODY THEN COMBINE EFFECT MULTIPLE SINGLE TERM PAST PRESENT
It is equal to the vector sum (adding the magnitude of the forces with their direction) of all the forces. change its state of motion is called inertia of motion. c) Inertia of direction: The resistance of a body to change its direction of motion is called inertia of direction. 1.2.2 Examples of Inertia An athlete runs some distance before jumping.,EXAMPLE JUMP RUN EQUAL VECTOR SUM ADD MAGNITUDE FORCE DIRECTION CHANGE STATE MOTION CALL INERTIA RESISTANCE BODY EXAMPLES ATHLETE DISTANCE PAST PRESENT
"Because, this will help him jump longer and higher. (Inertia of motion) When you make a sharp turn while driving a car, you tend to lean sideways, (Inertia of direction).",YOU DIRECTION TEND HELP JUMP LONGER HIGHER INERTIA MOTION MAKE SHARP TURN DRIVE CAR LEAN SIDEWAYS PRESENT
"When you vigorously shake the branches of a tree, some of the leaves and fruits are detached and they fall down, (Inertia of rest).",THEY REST DETACH VIGOROUSLY SHAKE BRANCH TREE LEAVE FRUIT FALL INERTIA PRESENT PAST
Figure 1.1 Inertia of motion 1.3 LINEAR MOMENTUM The impact of a force is more if the velocity and the mass of the body is more.,VELOCITY BODY FIGURE INERTIA MOTION LINEAR MOMENTUM IMPACT FORCE MORE MASS
"To quantify the impact of a force exactly, a new physical quantity known as linear momentum is defined.",QUANTIFY IMPACT FORCE EXACTLY NEW PHYSICAL QUANTITY KNOW LINEAR MOMENTUM DEFINE PAST
The linear momentum measures the impact of a force on a body.,MOMENTUM BODY MEASURE LINEAR IMPACT FORCE PRESENT
The product of mass and velocity of a moving body gives the magnitude of linear momentum.,PRODUCT MOMENTUM GIVE MASS VELOCITY MOVE BODY MAGNITUDE LINEAR PRESENT
It acts in the direction of the velocity of the object.,IT OBJECT ACT DIRECTION VELOCITY PRESENT
Linear momentum is a vector quantity.,LINEAR MOMENTUM VECTOR QUANTITY
Linear Momentum = mass × velocity p = mv . . . . . . . . . .(1.1) It helps to measure the magnitude of a force.,IT FORCE HELP LINEAR MOMENTUM MASS VELOCITY P MV MEASURE MAGNITUDE PRESENT
"Unit of momentum in SI system is kg m s–1 and in C.G.S system its unit is g cm s-1. 10th_Science_Unit-1.indd 3 12/3/2022 2:48:46 PM 4 10th Standard Science If the resultant force of all the forces acting on a body is equal to zero, then the body will be in equilibrium.",UNIT MOMENTUM SI SYSTEM KG M G CM PM STANDARD SCIENCE RESULTANT FORCE ACT BODY EQUAL ZERO THEN EQUILIBRIUM
Such forces are called balanced forces.,SUCH FORCE CALL BALANCE PAST
"If the resultant force is not equal to zero, then it causes the motion of the body due to unbalanced forces Examples: Drawing water from a well, force applied with a crow bar, forces on a weight balance, etc.",IT BALANCE CAUSE RESULTANT FORCE EQUAL ZERO THEN MOTION BODY UNBALANCE EXAMPLES DRAW WATER WELL APPLY CROW BAR WEIGHT PRESENT PAST NOT
"A system can be brought to equilibrium by applying another force, which is equal to the resultant force in magnitude, but opposite in direction.",WHICH DIRECTION BRING SYSTEM EQUILIBRIUM APPLY FORCE EQUAL RESULTANT MAGNITUDE OPPOSITE PAST
Such force is called as ‘Equilibrant’. 1.4.5 Rotating Effect of Force Have you observed the position of the handle in a door?,YOU DOOR OBSERVE SUCH FORCE CALL EQUILIBRANT ROTATE EFFECT POSITION HANDLE PAST QUESTION
It is always placed at the edge of door and not at some other place.,IT PLACE ALWAYS EDGE DOOR OTHER HABITUAL PAST NOT
Why?,WHY
Have you tried to push a door by placing your hand closer to the hinges or the fixed edge?,YOU HINGE TRY PUSH DOOR PLACE HAND CLOSER FIX EDGE PAST QUESTION
What do you observe?,YOU WHAT OBSERVE
The door can be easily opened or closed when you apply the force at a point far away from the fixed edge.,YOU EDGE OPEN DOOR EASILY CLOSE APPLY FORCE POINT FAR AWAY FIX PAST PRESENT
"In this case, the effect of the force you apply is to turn the door about the fixed edge.",CASE EFFECT FORCE APPLY TURN DOOR FIX EDGE PRESENT
This turning effect of the applied force is more when the distance between the fixed edge and the point of application of force is more.,TURN EFFECT APPLY FORCE MORE DISTANCE FIX EDGE POINT APPLICATION
Hinges Axis of rotation Axis of rotation +z z d O F Figure 1.3 Rotating effect of a force The axis of the fixed edge about which the door is rotated is called as the ‘axis of rotation’.,HINGE AXIS ROTATION Z D O F FIGURE ROTATE EFFECT FORCE FIX EDGE DOOR CALL PAST
"Fix one end of a rod to the floor/wall, and apply a force at the other end tangentially. (a) Unlike parallel forces – Tug of war (b) Unbalanced forces - Action of a lever (c) Like parallel forces Figure 1.2 Combined effect of forces Table 1.1 Action of forces Action of forces Diagram Resultant force (Fnet) Parallel forces are acting in the same direction F1 F2 Fnet = F1 + F2 Parallel unequal forces are acting in opposite directions F1 F2 Fnet = F1 – F2 (if F1 > F2) Fnet = F2 – F1 (if F2 > F1) Fnet is directed along the greater force.",FNET FORCE DIRECT FIX ONE END ROD FLOOR WALL APPLY OTHER TANGENTIALLY PARALLEL TUG WAR UNBALANCE ACTION LEVER C FIGURE COMBINE EFFECT TABLE DIAGRAM RESULTANT ACT SAME DIRECTION UNEQUAL OPPOSITE DIRECTIONS GREATER PRESENT PAST
Parallel equal forces are acting in opposite directions in the same line of action (F1 = F2) F1 F2 Fnet = F1 – F2 Fnet = 0 since (F1 = F2) 10th_Science_Unit-1.indd 4 12/3/2022 2:48:47 PM 5 Laws of motion The rod will be turned about the fixed point is called as ‘point of rotation’. 1.4.6 Moment of the Force The rotating or turning effect of a force about a fixed point or fixed axis is called moment of the force about that point or torque (τ).,MOMENT POINT CALL PARALLEL EQUAL FORCE ACT OPPOSITE DIRECTIONS SAME LINE ACTION FNET PM LAWS MOTION ROD TURN FIX ROTATION ROTATE EFFECT AXIS TORQUE PAST
It is measured by the product of the force (F) and the perpendicular distance (d) between the fixed point or the fixed axis and the line of action of the force. τ = F × d . . . . . . . . . . (1.2) Torque is a vector quantity.,TORQUE FORCE MEASURE PRODUCT F PERPENDICULAR DISTANCE D FIX POINT AXIS LINE ACTION VECTOR QUANTITY PAST
"It is acting along the direction, perpendicular to the plane containing the line of action of force and the distance.",IT FORCE ACT DIRECTION PERPENDICULAR PLANE CONTAIN LINE ACTION DISTANCE
Its SI unit is Nm.,SI UNIT NM
Couple: Two equal and unlike parallel forces applied simultaneously at two distinct points constitute a couple.,TWO COUPLE CONSTITUTE EQUAL PARALLEL FORCE APPLY SIMULTANEOUSLY DISTINCT POINT PAST PRESENT
The line of action of the two forces does not coincide.,LINE FORCE COINCIDE ACTION TWO NOT
It does not produce any translatory motion since the resultant is zero.,RESULTANT MOTION PRODUCE TRANSLATORY ZERO NOT
"But, a couple results in causes the rotation of the body.",COUPLE RESULT CAUSE ROTATION BODY
Rotating effect of a couple is known as moment of a couple.,ROTATE COUPLE KNOW EFFECT MOMENT PAST
"Examples: Turning a tap, winding or unwinding a screw, spinning of a top, etc.",EXAMPLES TURN TAP WIND UNWIND SCREW SPIN TOP
Moment of a couple is measured by the product of any one of the forces and the perpendicular distance between the line of action of two forces.,MOMENT FORCE MEASURE COUPLE PRODUCT ONE PERPENDICULAR DISTANCE LINE ACTION TWO PAST
The turning effect of a couple is measured by the magnitude of its moment.,EFFECT MOMENT MEASURE TURN COUPLE MAGNITUDE PAST
Moment of a couple = Force × perpendicular distance between the line of action of forces M = F × S . . . . . . . . . . . . (1.3) The unit of moment of a couple is newton metre (N m) in SI system and dyne cm in CGS system.,MOMENT COUPLE FORCE PERPENDICULAR DISTANCE LINE ACTION M F S UNIT NEWTON METRE N SI SYSTEM DYNE CM CGS
"By convention, the direction of moment of a force or couple is taken as positive if the body is rotated in the anti-clockwise direction and negative if it is rotate in the clockwise direction.",IT DIRECTION TAKE CONVENTION MOMENT FORCE COUPLE AS POSITIVE BODY ROTATE ANTI CLOCKWISE NEGATIVE PAST
They are shown in Figures 1.4 (a and b) Figure 1.4 (b) Anticlockwise moment Figure 1.4 (a) Clockwise moment s s F F F F 1.4.7 Application of Torque 1.,F TORQUE SHOW FIGURE B ANTICLOCKWISE MOMENT CLOCKWISE S APPLICATION PAST
Gears: A gear is a circular wheel with teeth around its rim.,GEAR CIRCULAR WHEEL TEETH RIM
It helps to change the speed of rotation of a wheel by changing the torque and helps to transmit power. 2.,IT POWER HELP CHANGE SPEED ROTATION WHEEL TORQUE TRANSMIT PRESENT
